index,term,polarity,termFrom,termTo,context
825,beer,2,71,75,"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience."
826,pickles,2,47,54,"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience."
827,plain pizza,0,4,15,The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.
828,truffle oil,1,114,125,The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.
829,wild mushroom(third generation-Fornini) pizza,2,43,88,The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.
830,omelletes,0,10,19,"Late nite omelletes are not good here, there is no variety!"
831,tip,0,54,57,"After all that, they complained to me about the small tip."
832,lunch,2,38,43,It's a great place to pick up a cheap lunch or dinner.
833,dinner,2,47,53,It's a great place to pick up a cheap lunch or dinner.
834,counter,0,12,19,"Behind this counter, two men are squeezed in."
835,fish,2,63,67,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service."
836,service,2,78,85,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service."
837,Sushi fix,2,20,29,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service."
838,waitress,2,4,12,"Our waitress was sweet and accomodating, not overbearing."
839,reservation sigh,1,117,133,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.
840,table,0,49,54,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.
841,food,0,85,89,I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.
842,menu,0,27,31,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art."
843,food art,2,102,110,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art."
844,outdoor atmosphere,2,4,22,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.
845,toppings,1,20,28,"A large is $20, and toppings are about $3 each."
846,pizza,2,39,44,brick oven gallery is My pick for best pizza restaurant anywhere.
847,service,2,18,25,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
848,food,2,36,40,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
849,price,2,57,62,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
850,bagels,1,43,49,"Growing up in NY, I have eaten my share of bagels."
851,bills,0,51,56,"Oh, don't even let me start with how expensive the bills were!"
852,scallion pancakes,1,4,21,The scallion pancakes and fried dumplings were nothing out of the ordinary.
853,fried dumplings,1,26,41,The scallion pancakes and fried dumplings were nothing out of the ordinary.
854,appetizers,2,8,18,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
855,salads,2,23,29,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
856,steak,2,49,54,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
857,pasta,2,82,87,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
858,table,0,19,24,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill."
859,served,0,126,132,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill."
860,dishes,0,133,139,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill."
861,table,0,231,236,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill."
862,served,0,246,252,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill."
863,bill,0,340,344,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill."
864,Service,2,0,7,Service is top notch.
865,food,0,4,8,The food now is inconsistent.
866,dumpling,2,39,47,"You can also special order any kind of dumpling,etc."
867,spice,1,36,41,BE CAREFUL before you request extra spice.
868,Octopus salad,2,39,52,The octopus eaters were floored by the Octopus salad.
869,foods,0,67,72,We thought that this place is using too much of MSG cooking in the foods.
870,MSG cooking,0,48,59,We thought that this place is using too much of MSG cooking in the foods.
871,Tom Kha soup,0,8,20,And the Tom Kha soup was pathetic.
872,Bombay beer,2,21,32,I started out with a Bombay beer which was big enough for two.
873,decor,2,4,9,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date."
874,dining hall,2,95,106,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date."
875,semi-private boths,2,51,69,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date."
876,Service,2,0,7,Service was quick.
877,service,0,11,18,Drawbacks: service is slow and they don't toast!
878,office lunch,1,18,30,Went there for an office lunch.
879,sweet lassi,2,4,15,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
880,lamb chettinad,2,41,55,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
881,garlic naan,2,64,75,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
882,rasamalai,0,84,93,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
883,bistro fare,2,117,128,"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return."
884,chef,2,21,25,"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return."
885,food,2,33,37,"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return."
886,spicy tuna,2,4,14,The spicy tuna and salmon are the best we've ever had.
887,salmon,2,19,25,The spicy tuna and salmon are the best we've ever had.
888,seafood,2,21,28,"Even though its good seafood, the prices are too high."
889,prices,0,34,40,"Even though its good seafood, the prices are too high."
890,food,2,17,21,"In addition, the food is very good and the prices are reasonable."
891,prices,2,43,49,"In addition, the food is very good and the prices are reasonable."
892,owners,2,38,44,"Upon entering, we were greeted by the owners, Steven and Frederick, who went out of their way to be more than gracious hosts."
893,hosts,2,119,124,"Upon entering, we were greeted by the owners, Steven and Frederick, who went out of their way to be more than gracious hosts."
894,quality value,0,46,59,Been going here since it opened have seen the quality value decrease considerably.
895,Meat dishes,1,0,11,"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices."
896,vegetarian-friendly choices,2,79,106,"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices."
897,prices,2,11,17,Reasonable prices.
898,amuse bouche,2,55,67,they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.
899,dessert,2,102,109,they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.
900,tables,2,75,81,they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.
901,service,2,11,18,they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.
902,crunchy tuna,2,8,20,"Try the crunchy tuna, it is to die for."
903,food,0,61,65,It won't break the bank but I also wouldnt come back for the food.
904,live entertainment,2,24,42,It is a lot of fun with live entertainment and all kinds of Disney type special effects.
905,special effects,2,72,87,It is a lot of fun with live entertainment and all kinds of Disney type special effects.
906,sushi,2,42,47,"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side)."
907,sushi,2,111,116,"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side)."
908,fountain drinks,0,14,29,"No refills on fountain drinks, though."
909,beers,2,13,18,Wow over 100 beers to choose from.
910,portions,2,14,22,Be careful of portions - they're HUGE.
911,Steak Tartare,2,4,17,"The Steak Tartare is a great bet, they fix it for you at the table."
912,waiter,2,58,64,Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening.
913,wine,1,18,22,Did I mention the wine?
914,house wine,2,30,40,"Plus, on Wednesday nights the house wine is unlimited!"
915,bread,0,16,21,like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.
916,dim sum servings,1,4,20,The dim sum servings here are a bit larger than I'm used to.
917,management,1,45,55,"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup."
918,door,2,86,90,"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup."
919,Barbecued codfish,2,0,17,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance."
920,seasoning,0,114,123,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance."
921,spice rub,0,128,137,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance."
922,sauce,0,188,193,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance."
923,value,2,23,28,Taj Mahal offeres gret value and great food.
924,chef,1,8,12,Has the chef and owner changed???
925,owner,1,17,22,Has the chef and owner changed???
926,dinner,2,41,47,My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience.
927,bacon,0,21,26,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars."
928,platter,0,48,55,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars."
929,in sandwiches,0,59,72,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars."
930,Pizza,2,0,5,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!"
931,crust,2,77,82,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!"
932,pizza,2,17,22,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!"
933,spot,2,40,44,"I found it on a cold night, the perfect spot to warm up."
934,menu,0,32,36,They even have a section in the menu called American Chinese food!
935,American Chinese food,0,44,65,They even have a section in the menu called American Chinese food!
936,beef carpaachio,2,32,47,"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared."
937,portion,2,67,74,"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared."
938,kalbi,1,0,5,kalbi and nebbiolo do work together.
939,nebbiolo,1,10,18,kalbi and nebbiolo do work together.
940,Italian food,2,5,17,"Best Italian food I ever had (and being Italian, that means alot)."
941,Italian food,2,76,88,I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.
942,Located,2,0,7,Located at the end of a magnificent block.
943,meal,2,65,69,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen."
944,room,1,24,28,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen."
945,clubhouse,0,98,107,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen."
946,trays of Dim Sum,1,32,48,They don't walk around with the trays of Dim Sum.
947,bar,2,6,9,"Great bar, most gorgeous bartenders you've ever seen (specifically the blond lady)."
948,bartenders,2,25,35,"Great bar, most gorgeous bartenders you've ever seen (specifically the blond lady)."
949,dessert,1,24,31,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.
950,waitress,0,40,48,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.
951,bill,1,71,75,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.
952,cheff,2,59,64,I really loved the different and inovated touch that's the cheff gives to the food.
953,food,2,78,82,I really loved the different and inovated touch that's the cheff gives to the food.
954,meal,2,17,21,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good."
955,server,2,31,37,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good."
956,wine,2,67,71,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good."
957,price range,2,79,90,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good."
958,priced,1,139,145,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good."
959,svc,0,4,7,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!"
960,food,2,4,8,"The food is good, especially their more basic dishes, and the drinks are delicious."
961,dishes,2,46,52,"The food is good, especially their more basic dishes, and the drinks are delicious."
962,drinks,2,62,68,"The food is good, especially their more basic dishes, and the drinks are delicious."
963,whole grilled fish,2,25,43,But the main hit was the whole grilled fish.
964,tuna tartare,2,10,22,"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49."
965,sake,2,28,32,"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49."
966,mushroom ravioli,2,34,50,"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49."
967,pinot noir,2,56,66,"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49."
968,chocolate sampler,2,76,93,"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49."
969,dessert wine,2,101,113,"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49."
970,lunch,2,50,55,On a hot day it was fabulous to stop in and enjoy lunch.
971,food,2,4,8,The food is delicious and beautifully prepared along with the friendly and personable service.
972,service,2,86,93,The food is delicious and beautifully prepared along with the friendly and personable service.
973,lines,0,93,98,I usually go there later at night when I get off work so I don't have to deal with crowds or lines.
974,crowds,0,83,89,I usually go there later at night when I get off work so I don't have to deal with crowds or lines.
975,Pizza,2,0,5,Pizza here is consistently good.
976,shows,2,33,38,We had a great tiem watching the shows and characters and ar food was just what we were looking for.
977,food,2,61,65,We had a great tiem watching the shows and characters and ar food was just what we were looking for.
978,characters,2,43,53,We had a great tiem watching the shows and characters and ar food was just what we were looking for.
979,beers,1,90,95,"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations."
980,reservations,2,184,196,"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations."
981,dinner,0,25,31,Wouldn't recomend it for dinner!
982,Sauce,0,0,5,Sauce was watery and the food didn't have much flavor.
983,food,0,25,29,Sauce was watery and the food didn't have much flavor.
984,flavor,0,47,53,Sauce was watery and the food didn't have much flavor.
985,indian cuisine,2,63,77,"But after last night, Spice Grill is the only place I'm eating indian cuisine."
986,pasta dish,2,20,30,We both opted for a pasta dish and they were served timely and fresh.
987,served,2,45,51,We both opted for a pasta dish and they were served timely and fresh.
988,bread,0,16,21,"First the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course..."
989,glass of wine,1,87,100,"First the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course..."
990,main course,1,108,119,"First the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course..."
991,food,2,101,105,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!"
992,Thai food,2,35,44,"In an area sadly lacking in decent Thai food, this is one of the best spots."
993,waiter,0,63,69,Tell them Herky sent you and get a free confused look from the waiter.
994,hosting staff,0,64,77,Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.
995,reservations,0,5,17,Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.
996,reservation,1,134,145,Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.
997,seating,0,100,107,Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.
998,food,2,4,8,The food was average or above including some surprising tasty dishes.
999,dishes,2,62,68,The food was average or above including some surprising tasty dishes.
1000,specials,0,40,48,They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.
1001,ingredients,0,58,69,They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.
1002,thai,1,104,108,They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.
1003,food,1,20,24,Other apetizers and food
1004,food,2,4,8,The food's as good as ever.
1005,staff,2,53,58,"The crust is thin, the ingredients are fresh and the staff is friendly."
1006,ingredients,2,23,34,"The crust is thin, the ingredients are fresh and the staff is friendly."
1007,bagel,1,47,52,Also a little more expensive than your average bagel place.
1008,food,0,4,8,"the food was undercooked-the sauce watery, and the vegetables raw."
1009,vegetables,0,51,61,"the food was undercooked-the sauce watery, and the vegetables raw."
1010,sauce,0,29,34,"the food was undercooked-the sauce watery, and the vegetables raw."
1011,fried clams,2,8,19,And the fried clams had just enough kick to them to make 'em worth eating.
1012,sauces,0,4,10,The sauces used are also not that exciting.
1013,lunch menu,2,18,28,The secret is the lunch menu which offers a complimentary appetizer with every entree ordered.
1014,appetizer,2,58,67,The secret is the lunch menu which offers a complimentary appetizer with every entree ordered.
1015,entree,2,79,85,The secret is the lunch menu which offers a complimentary appetizer with every entree ordered.
1016,rice,0,4,8,The rice was poor quality and was cooked so badly it was hard.
1017,quality,0,18,25,The rice was poor quality and was cooked so badly it was hard.
1018,cooked,0,34,40,The rice was poor quality and was cooked so badly it was hard.
1019,champagne,2,7,16,We had champagne and caviar and felt like princesses!
1020,caviar,2,21,27,We had champagne and caviar and felt like princesses!
1021,antipasti,2,40,49,The shrimp scampi was excellent and the antipasti were plentiful.
1022,dessert,1,8,15,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort."
1023,waiter,2,100,106,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort."
1024,dim sum combo,2,23,36,"I got the $10 10-piece dim sum combo, every bite of which was great."
1025,food,1,82,86,There is also very limited seating and there can be a substantial wait in getting food at peak times.
1026,wait,0,66,70,There is also very limited seating and there can be a substantial wait in getting food at peak times.
1027,martini,1,21,28,"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!"
1028,bar,1,36,39,"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!"
1029,Roast Chicken,2,88,101,"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!"
1030,table,1,28,33,"There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice."
1031,insde table,2,96,107,"There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice."
1032,wait,0,17,21,"There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice."
1033,prices,2,4,10,The prices are wonderfully low.
1034,spicy food,1,12,22,If you like spicy food get the chicken vindaloo.
1035,lunch specials,2,99,113,I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.
1036,bar food,2,28,36,"So much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers."
1037,menu,2,60,64,"So much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers."
1038,hand-crafted beers,2,93,111,"So much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers."
1039,drink,1,8,13,No free drink.
1040,food,2,68,72,This is my first time writing a review for a restaurant because the food and service was excellent.
1041,service,2,77,84,This is my first time writing a review for a restaurant because the food and service was excellent.
1042,capex,2,20,25,"While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city."
1043,bagels,1,71,77,"While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city."
1044,chefs,1,13,18,The two star chefs left quite some time ago to open their own place.
1045,decor,1,21,26,Don't waste money on decor.
1046,back garden,2,17,28,They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?
1047,outdoor seating,2,71,86,They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?
1048,nigiri,1,55,61,I have never before eaten 40 pieces of relatively good nigiri.
1049,architecture,2,21,33,"Given the incredible architecture surrounding it, this place has no character."
1050,dinner,1,24,30,I'd call it an 'italian dinner'.
1051,drinks,2,46,52,"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck."
1052,place,0,10,15,"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck."
1053,food,2,47,51,Have frequented 'ino for several years and the food remains excellent.
1054,eggplant,2,6,14,"Their eggplant is so delicate, sweet tender!"
1055,food,2,13,17,"Each bite of food at Kai was indeed delicious, fresh, and elegant."
1056,food,2,8,12,all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.
1057,quality of food,2,45,60,all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.
1058,priced,1,80,86,all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.
1059,mushroom pizza,2,18,32,My friend got the mushroom pizza which tasted better.
1060,cod with paella,0,10,25,"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries)."
1061,serving,0,156,163,"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries)."
1062,fish,1,187,191,"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries)."
1063,fries,1,211,216,"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries)."
1064,place,2,37,42,"It's a shame that a nice, convenient place like the Pink Pony can be so ruined by lousy service."
1065,service,0,88,95,"It's a shame that a nice, convenient place like the Pink Pony can be so ruined by lousy service."
1066,calamari,0,23,31,You should pass on the calamari.
1067,porcini mushroom pasta special,0,4,34,"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle."
1068,seafood tagliatelle,0,61,80,"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle."
1069,spicy wontons,2,8,21,Try the spicy wontons and the salt pepper shrimps.
1070,salt pepper shrimps,2,30,49,Try the spicy wontons and the salt pepper shrimps.
1071,FOOD PORTIONS,2,4,17,THE FOOD PORTIONS ARE REALLY LARGE.
1072,staff,2,25,30,"Friendly and informative staff, very attentive and prompt raw bar service."
1073,bar service,2,62,73,"Friendly and informative staff, very attentive and prompt raw bar service."
1074,Taiwanese food,2,5,19,Best Taiwanese food in NY!
1075,food,2,37,41,This place is a great stop for great food.
1076,pastas,2,8,14,All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.
1077,homemade lasagna,2,37,53,All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.
1078,dessert menu,1,40,52,"We laughed when he finally offered us a dessert menu and we left a 10 percent tip, which was generous, I feel."
1079,tip,2,78,81,"We laughed when he finally offered us a dessert menu and we left a 10 percent tip, which was generous, I feel."
1080,prices,0,8,14,And the prices were way to high for what you get.
1081,staff,0,4,9,The staff ignored my friends and I the entire time we were there.
1082,service,0,26,33,"Yet paired with such rude service, would never recommend for anyone interested in carrying any kind of conversation while there."
1083,music,2,71,76,"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests."
1084,in-house lady DJ,2,4,20,"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests."
1085,rolls,1,22,27,"I need at least three rolls to be full, and that's at least $14.00!"
1086,wine list,2,6,15,"Great wine list, reasonably priced.--Sara"
1087,priced,2,28,34,"Great wine list, reasonably priced.--Sara"
1088,hot dogs,0,4,12,The hot dogs were cold in the middle and the buns were stale.
1089,buns,0,45,49,The hot dogs were cold in the middle and the buns were stale.
1090,food,2,10,14,"While the food was excellent, it wasn't cheap (though not extremely expensive either)."
1091,Beef noodle soup,2,0,16,Beef noodle soup is good as well.
1092,Delivery service,2,0,16,Delivery service is great too.
1093,food,2,4,8,"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine."
1094,Thai cuisine,2,90,102,"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine."
1095,flavors,2,20,27,"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine."
1096,service,2,18,25,I recieved prompt service with a smile.
1097,pizza,0,54,59,They pray to their Food Gods to make them into a good pizza like VT's.
1098,place,2,4,9,The place was quiet and delightful.
1099,food,2,4,8,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.
1100,food,2,38,42,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.
1101,herbs,2,97,102,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.
1102,food,2,22,26,"As much as I like the food there, I can't bring myself to go back."
1103,shredded cheese,0,15,30,It looked like shredded cheese partly done - still in strips.
1104,prices,2,4,10,The prices and ambience are especially great considering it's in the West Village.
1105,ambience,2,15,23,The prices and ambience are especially great considering it's in the West Village.
1106,soup,2,4,8,The soup is pretty good too.
1107,reservation,2,23,34,It is so easy to get a reservation at a top place in NYC with a week's notice.
1108,root vegetables,2,35,50,I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.
1109,mushroom consomme,2,56,73,I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.
1110,chef,2,85,89,I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.
1111,served,2,30,36,"If you go to Roth's try to be served by Mike, he is GREAT!!"
1112,food,1,8,12,"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out ."
1113,ambiance,1,22,30,"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out ."
1114,service,1,41,48,"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out ."
1115,wait staff,0,108,118,"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out ."
1116,Shabu-Shabu dinner,1,17,35,I always get the Shabu-Shabu dinner and the beef is always fresh.
1117,beef,2,44,48,I always get the Shabu-Shabu dinner and the beef is always fresh.
